Unnamed: 0,CDU2YP12,CDU2YPC3001,CDU2YPC3001_M,CDU2YPC3001_OP,CDU2YPC3001_SP,CDU2YV3AL,FLU_CDU2,REFCDU2_KG_FL,REFCDU2_NM3_FL,CDU2KEROFL
2014-01-01,-0.0027333333333333337,3.5534916666666665,0.0,0.0,3.7000000000000015,-2.014670833333333,0.0,0.0,0.0,50.75
2014-01-02,-0.002920833333333334,3.5190833333333336,0.0,0.0,3.7000000000000015,-2.0462041666666666,0.0,0.0,0.0,51.0
2014-01-03,-0.0030249999999999986,3.5303958333333334,0.0,0.0,3.7000000000000015,-1.9958916666666668,0.0,0.0,0.0,51.0
2014-01-04,-0.002945833333333333,3.518329166666668,0.0,0.0,3.7000000000000015,-1.914775,0.0,0.0,0.0,54.0
2014-01-05,-0.003095833333333333,3.535379166666667,0.0,0.0,3.7000000000000015,-1.907779166666666,0.0,0.0,0.0,54.5
2014-01-06,-0.0029625,3.538012499999999,0.0,0.0,3.7000000000000015,-1.8701416666666668,0.0,0.0,0.0,54.5
2014-01-07,-0.0029333333333333325,3.547591666666667,0.0,0.0,3.7000000000000015,-1.935725,0.0,0.0,0.0,53.75
2014-01-08,-0.003020833333333333,3.5520791666666667,0.0,0.0,3.7000000000000015,-1.867983333333333,0.0,0.0,0.0,64.5
2014-01-09,-0.003516666666666666,3.5386166666666665,0.0,0.0,3.7000000000000015,-1.5180833333333332,0.0,0.0,0.0,63.0
2014-01-10,-0.003266666666666666,3.515483333333333,0.0,0.0,3.7000000000000015,-1.4165708333333331,0.0,0.0,0.0,61.0
2014-01-11,-0.002783333333333333,3.4940125,0.0,0.0,3.7000000000000015,-1.7480875000000002,0.0,0.0,0.0,61.0
2014-01-12,-0.0031375,3.502170833333333,0.0,0.0,3.7000000000000015,-1.826625,0.0,0.0,0.0,61.0
2014-01-13,-0.0033416666666666664,3.4726708333333334,0.0,0.0,3.7000000000000015,-1.6288333333333331,0.0,0.0,0.0,61.5
2014-01-14,-0.0032,3.487175,0.0,0.0,3.7000000000000015,-1.6586166666666669,0.0,0.0,0.0,60.5
2014-01-15,-0.0031625000000000004,3.4753875,0.0,0.0,3.7000000000000015,-1.70165,0.0,0.0,0.0,61.0
2014-01-16,-0.003158333333333333,3.573500000000001,0.0,0.0,3.7000000000000015,-1.7972458333333332,0.0,0.0,0.0,64.0
2014-01-17,-0.0026666666666666674,3.5890083333333336,0.0,0.0,3.7000000000000015,-1.8667916666666664,0.000775,0.0008625,0.0006916666666666668,59.0
2014-01-18,-0.0031833333333333327,3.5816875,0.0,0.0,3.7000000000000015,-1.768225,0.0,0.0,0.0,55.0
2014-01-19,-0.003279166666666667,3.584095833333334,0.0,0.0,3.7000000000000015,-1.7070833333333333,0.0,0.0,0.0,55.0
2014-01-20,-0.0021166666666666664,3.590970833333333,0.0,0.0,3.7000000000000015,-1.9406375,0.0,0.0,0.0,53.5
2014-01-21,-0.0029833333333333326,3.587333333333333,0.0,0.0,3.7000000000000015,-1.6075458333333337,0.0,0.0,0.0,51.5
2014-01-22,-0.0034166666666666672,3.5968208333333336,0.0,0.0,3.7000000000000015,-1.5853833333333334,0.0,0.0,0.0,42.5
2014-01-23,-0.003075,3.6051291666666674,0.0,0.0,3.7000000000000015,-1.8017208333333337,0.0,0.0,0.0,42.5
2014-01-24,-0.002425,3.646475,0.0,0.0,3.7000000000000015,-2.023883333333333,0.0,0.0,0.0,42.0
2014-01-25,-0.0019750000000000006,3.639183333333334,0.0,0.0,3.7000000000000015,-2.248125,0.02345416666666666,0.02345416666666666,0.018779166666666663,45.0
2014-01-26,-0.002870833333333333,3.636866666666668,0.0,0.0,3.7000000000000015,-1.8225374999999997,0.0,0.0,0.0,46.75
2014-01-27,-0.0027791666666666663,3.6566583333333327,0.0,0.0,3.7000000000000015,-1.8543083333333328,0.0,0.0,0.0,44.5
2014-01-28,-0.002604166666666666,3.665737500000001,0.0,0.0,3.7000000000000015,-2.0746291666666674,0.0,0.0,0.0,44.5
2014-01-29,-0.0026125,3.6970583333333336,0.0,0.0,3.7000000000000015,-1.9765791666666663,0.0,0.0,0.0,44.5
2014-01-30,-0.0020375000000000007,3.703391666666667,0.0,0.0,3.7000000000000015,-2.196433333333333,0.0,0.0,0.0,45.75
2014-01-31,-0.0025249999999999995,3.6914249999999993,0.0,0.0,3.7000000000000015,-2.060954166666667,0.0,0.0,0.0,49.25
2014-02-01,-0.0020875,3.696525,0.0,0.0,3.7000000000000015,-2.151475,0.0,0.0,0.0,57.0
2014-02-02,-0.0025125000000000004,3.684891666666668,0.0,0.0,3.7000000000000015,-2.237954166666667,0.0,0.0,0.0,53.5
2014-02-03,-0.0027541666666666656,3.6133208333333333,0.0,0.0,3.7000000000000015,-2.025608333333333,0.0,0.0,0.0,53.5
2014-02-04,-0.0012416666666666667,3.600225,0.0,0.0,3.7000000000000015,-1.2760500000000004,0.0,0.0,0.0,53.0
2014-02-05,-0.0020458333333333327,3.653958333333332,0.0,0.0,3.7000000000000015,-1.3997375,0.0,0.0,0.0,54.5
2014-02-06,-0.002645833333333333,3.66465,0.0,0.0,3.7000000000000015,-1.7649,0.0,0.0,0.0,53.0
2014-02-07,-0.002925,3.687779166666667,0.0,0.0,3.7000000000000015,-1.8161375,0.0261,0.02610416666666666,0.02089583333333333,54.5
2014-02-08,-0.003354166666666667,3.679145833333333,0.0,0.0,3.7000000000000015,-1.8544125,0.0,0.0,0.0,51.5
2014-02-09,-0.0035,3.720983333333333,0.0,0.0,3.7000000000000015,-1.7993125,0.0,0.0,0.0,51.5
